split,seed,score_source,channel,allocation,decision,budget,channel_budget_per_hour,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Actuator Outputs,25,0,0.0,3,0.7446180683333333,4.028911098967625,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Actuator Outputs+Controls,41,0,0.0,3,1.206307534722222,2.486928012673662,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Position.X,54,5,0.09259259259259259,11,0.9378571405555555,11.72886522299544,21.912615600000002,33.531859999999995
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Position.Y,55,0,0.0,10,1.0971975144444444,9.114129286980209,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Position.Z,113,0,0.0,5,1.4244670750000001,3.510084639899451,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Position.X,54,3,0.05555555555555555,5,0.9378571405555555,5.331302374088836,14.35645733333333,27.02733099999999
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Position.Y,55,0,0.0,5,1.0971975144444444,4.557064643490104,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Actuator Controls,16,0,0.0,2,0.5049052622222222,3.961139147564968,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Actuator Outputs,25,0,0.0,3,0.7446180683333333,4.028911098967625,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Actuator Outputs+Controls,41,0,0.0,5,1.206307534722222,4.14488002112277,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Position.X,54,27,0.5,69,0.9378571405555555,73.57197276242594,15.612525592592583,39.08921699999996
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Position.Y,55,29,0.5272727272727272,82,1.0971975144444444,74.73586015323771,12.404336413793105,36.97577600000001
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Position.Z,113,1,0.008849557522123894,0,1.4244670750000001,0.0,33.043271000000004,33.043271000000004
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,Velocity,2,2,1.0,1,0.0036470161111110933,274.1967596340949,23.527728499999967,38.001544999999965
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Actuator Controls,16,1,0.0625,13,0.5049052622222222,25.747404459172294,1.0198860000000423,1.0198860000000423
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Actuator Outputs,25,9,0.36,14,0.7446180683333333,18.801585128515583,11.215486444444444,27.074017999999995
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Actuator Outputs+Controls,41,10,0.24390243902439024,25,1.206307534722222,20.72440010561385,10.195926400000005,27.074017999999995
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Position.X,54,3,0.05555555555555555,9,0.9378571405555555,9.596344273359906,38.324032333333264,63.95906199999999
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Position.Y,55,4,0.07272727272727272,10,1.0971975144444444,9.114129286980209,44.293802249999985,123.04627299999993
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Position.Z,113,1,0.008849557522123894,8,1.4244670750000001,5.616135423839122,0.0,0.0
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Position.X,54,2,0.037037037037037035,5,0.9378571405555555,5.331302374088836,20.524343499999993,27.02733099999999
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Position.Y,55,0,0.0,2,1.0971975144444444,1.8228258573960416,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Actuator Controls,16,0,0.0,1,0.5049052622222222,1.980569573782484,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Actuator Outputs,25,0,0.0,1,0.7446180683333333,1.3429703663225416,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Actuator Outputs+Controls,41,0,0.0,2,1.206307534722222,1.657952008449108,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Position.X,54,13,0.24074074074074073,27,0.9378571405555555,28.789032820079715,28.187564307692313,51.084812
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Position.Y,55,13,0.23636363636363636,36,1.0971975144444444,32.81086543312875,19.461973999999998,50.97184200000004
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,33.02471700000001,33.02471700000001
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Actuator Controls,16,3,0.1875,8,0.5049052622222222,15.844556590259872,5.327112999999959,13.028856999999903
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Actuator Outputs,25,4,0.16,10,0.7446180683333333,13.429703663225416,15.253435250000003,44.04442399999999
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Actuator Outputs+Controls,41,7,0.17073170731707318,16,1.206307534722222,13.263616067592864,10.999297142857127,44.04442399999999
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Position.X,54,2,0.037037037037037035,8,0.9378571405555555,8.530083798542137,60.42083049999985,82.970779
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Position.Y,55,1,0.01818181818181818,9,1.0971975144444444,8.202716358282187,163.92393300000003,163.92393300000003
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Position.Z,113,0,0.0,3,1.4244670750000001,2.1060507839396707,,
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Actuator Outputs,25,0,0.0,3,0.7446180683333333,4.028911098967625,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Actuator Outputs+Controls,41,0,0.0,3,1.206307534722222,2.486928012673662,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Position.X,54,5,0.09259259259259259,11,0.9378571405555555,11.72886522299544,21.912615600000002,33.531859999999995
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Position.Y,55,0,0.0,12,1.0971975144444444,10.936955144376249,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Position.Z,113,0,0.0,6,1.4244670750000001,4.212101567879341,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
