split,seed,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,ml12_fusion_itki,k_of_n,critical,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,ml12_fusion_itki,k_of_n,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,ml12_fusion_itki,k_of_n,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,ml12_fusion_itki,k_of_n,critical,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,ml12_fusion_itki,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,ml12_fusion_itki,cusum,critical,external_position_anomaly,50,15,0.3,13,0.7340355269444444,17.71031445046652,20.10772813333334,40.865207999999996
split_00,0,ml12_fusion_itki,cusum,critical,global_position_anomaly,51,20,0.39215686274509803,32,0.6878973927777778,46.5185656116267,16.448190800000006,50.00577700000002
split_00,0,ml12_fusion_itki,cusum,critical,mechanical_fault,43,0,0.0,2,1.299568493888889,1.5389723661390924,,
split_00,0,ml12_fusion_itki,cusum,critical,normal,0,0,,18,6.7653268580555554,2.660625329368556,,
split_00,0,ml12_fusion_itki,threshold,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,ml12_fusion_itki,threshold,advisory,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,ml12_fusion_itki,threshold,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,ml12_fusion_itki,threshold,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,ml12_fusion_itki,threshold,advisory,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,ml12_fusion_itki,k_of_n,advisory,altitude_anomaly,114,1,0.008771929824561403,0,1.4421181852777778,0.0,0.0,0.0
split_00,0,ml12_fusion_itki,k_of_n,advisory,external_position_anomaly,50,18,0.36,60,0.7340355269444444,81.73991284830701,6.163057111111114,26.016402999999997
split_00,0,ml12_fusion_itki,k_of_n,advisory,global_position_anomaly,51,2,0.0392156862745098,29,0.6878973927777778,42.157450085536695,5.945722499999995,7.932459000000009
split_00,0,ml12_fusion_itki,k_of_n,advisory,mechanical_fault,43,0,0.0,1,1.299568493888889,0.7694861830695462,,
split_00,0,ml12_fusion_itki,k_of_n,advisory,normal,0,0,,90,6.7653268580555554,13.30312664684278,,
split_00,0,ml12_fusion_itki,cusum,advisory,altitude_anomaly,114,1,0.008771929824561403,0,1.4421181852777778,0.0,29.989671999999985,29.989671999999985
split_00,0,ml12_fusion_itki,cusum,advisory,external_position_anomaly,50,28,0.56,47,0.7340355269444444,64.02959839784049,13.443003499999989,35.041522999999984
split_00,0,ml12_fusion_itki,cusum,advisory,global_position_anomaly,51,29,0.5686274509803921,65,0.6878973927777778,94.49083639861674,15.437382413793102,36.845284
split_00,0,ml12_fusion_itki,cusum,advisory,mechanical_fault,43,1,0.023255813953488372,6,1.299568493888889,4.616917098417277,24.008658999999994,24.008658999999994
split_00,0,ml12_fusion_itki,cusum,advisory,normal,0,0,,71,6.7653268580555554,10.49468879917597,,
split_00,0,ml12_fusion_ince,threshold,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,ml12_fusion_ince,threshold,critical,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,ml12_fusion_ince,threshold,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,ml12_fusion_ince,threshold,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,ml12_fusion_ince,threshold,critical,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,ml12_fusion_ince,k_of_n,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,ml12_fusion_ince,k_of_n,critical,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,ml12_fusion_ince,k_of_n,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,ml12_fusion_ince,k_of_n,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,ml12_fusion_ince,k_of_n,critical,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,ml12_fusion_ince,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,ml12_fusion_ince,cusum,critical,external_position_anomaly,50,15,0.3,12,0.7340355269444444,16.347982569661404,20.040283266666666,40.865207999999996
split_00,0,ml12_fusion_ince,cusum,critical,global_position_anomaly,51,20,0.39215686274509803,32,0.6878973927777778,46.5185656116267,16.499050250000007,50.00577700000002
split_00,0,ml12_fusion_ince,cusum,critical,mechanical_fault,43,0,0.0,2,1.299568493888889,1.5389723661390924,,
split_00,0,ml12_fusion_ince,cusum,critical,normal,0,0,,18,6.7653268580555554,2.660625329368556,,
split_00,0,ml12_fusion_ince,threshold,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,ml12_fusion_ince,threshold,advisory,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,ml12_fusion_ince,threshold,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,ml12_fusion_ince,threshold,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,ml12_fusion_ince,threshold,advisory,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,ml12_fusion_ince,k_of_n,advisory,altitude_anomaly,114,2,0.017543859649122806,0,1.4421181852777778,0.0,1.4723974999999996,2.944794999999999
split_00,0,ml12_fusion_ince,k_of_n,advisory,external_position_anomaly,50,18,0.36,60,0.7340355269444444,81.73991284830701,6.163057111111114,26.016402999999997
split_00,0,ml12_fusion_ince,k_of_n,advisory,global_position_anomaly,51,2,0.0392156862745098,29,0.6878973927777778,42.157450085536695,5.945722499999995,7.932459000000009
split_00,0,ml12_fusion_ince,k_of_n,advisory,mechanical_fault,43,0,0.0,1,1.299568493888889,0.7694861830695462,,
split_00,0,ml12_fusion_ince,k_of_n,advisory,normal,0,0,,90,6.7653268580555554,13.30312664684278,,
split_00,0,ml12_fusion_ince,cusum,advisory,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,29.075942999999995,29.075942999999995
split_00,0,ml12_fusion_ince,cusum,advisory,external_position_anomaly,50,27,0.54,48,0.7340355269444444,65.39193027864562,13.498200333333331,35.064627
split_00,0,ml12_fusion_ince,cusum,advisory,global_position_anomaly,51,29,0.5686274509803921,68,0.6878973927777778,98.85195192470674,16.697893310344824,36.015536999999995
split_00,0,ml12_fusion_ince,cusum,advisory,mechanical_fault,43,0,0.0,6,1.299568493888889,4.616917098417277,,
split_00,0,ml12_fusion_ince,cusum,advisory,normal,0,0,,71,6.7653268580555554,10.49468879917597,,
